18:40:43 INFO  manager.ApplicationManager - Tests Using Firefox
18:40:45 INFO  tests.TestBase - Method loginNegativeWrongEmail is started 
18:40:45 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Logout ']
18:40:50 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Logout '] is found
18:40:50 INFO  manager.TestNgListener - Test loginNegativeWrongEmail invoked
18:40:50 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Log in ']
18:40:50 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Log in '] is found
18:40:50 INFO  manager.WebDriverListener - Start searching element -> By.xpath: (//input[@id='email'])
18:40:50 INFO  manager.WebDriverListener - Element with locator -> By.xpath: (//input[@id='email']) is found
18:40:51 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //input[@id='password']
18:40:51 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //input[@id='password'] is found
18:40:51 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //button[@type='submit']
18:40:51 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //button[@type='submit'] is found
18:40:51 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'incorrect')]
18:40:52 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'incorrect')] is found
18:40:52 INFO  manager.TestNgListener - Test loginNegativeWrongEmail successful
18:40:52 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'success')]
18:40:57 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'success')] is found
18:40:57 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'incorrect')]
18:40:57 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'incorrect')] is found
18:40:57 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //button[@type='button']
18:40:57 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //button[@type='button'] is found
18:40:57 INFO  tests.TestBase - =====================end==method======================== 
18:40:57 INFO  tests.TestBase - Method loginNegativeWrongEmail2 is started 
18:40:57 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Logout ']
18:41:02 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Logout '] is found
18:41:02 INFO  manager.TestNgListener - Test loginNegativeWrongEmail2 invoked
18:41:02 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Log in ']
18:41:02 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Log in '] is found
18:41:02 INFO  manager.WebDriverListener - Start searching element -> By.xpath: (//input[@id='email'])
18:41:02 INFO  manager.WebDriverListener - Element with locator -> By.xpath: (//input[@id='email']) is found
18:41:02 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //input[@id='password']
18:41:02 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //input[@id='password'] is found
18:41:02 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //button[@type='submit']
18:41:02 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //button[@type='submit'] is found
18:41:02 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'incorrect')]
18:41:03 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'incorrect')] is found
18:41:03 INFO  manager.TestNgListener - Test loginNegativeWrongEmail2 successful
18:41:03 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'success')]
18:41:08 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'success')] is found
18:41:08 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'incorrect')]
18:41:08 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'incorrect')] is found
18:41:08 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //button[@type='button']
18:41:08 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //button[@type='button'] is found
18:41:08 INFO  tests.TestBase - =====================end==method======================== 
18:41:08 INFO  tests.TestBase - Method loginPositiveUser is started 
18:41:08 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Logout ']
18:41:13 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Logout '] is found
18:41:13 INFO  manager.TestNgListener - Test loginPositiveUser invoked
18:41:13 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Log in ']
18:41:13 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Log in '] is found
18:41:13 INFO  manager.WebDriverListener - Start searching element -> By.xpath: (//input[@id='email'])
18:41:13 INFO  manager.WebDriverListener - Element with locator -> By.xpath: (//input[@id='email']) is found
18:41:14 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //input[@id='password']
18:41:14 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //input[@id='password'] is found
18:41:14 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //button[@type='submit']
18:41:14 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //button[@type='submit'] is found
18:41:14 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'success')]
18:41:14 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'success')] is found
18:41:14 INFO  manager.TestNgListener - Test loginPositiveUser successful
18:41:14 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'success')]
18:41:14 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'success')] is found
18:41:14 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //button[@type='button']
18:41:14 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //button[@type='button'] is found
18:41:14 INFO  tests.TestBase - =====================end==method======================== 
18:41:14 INFO  tests.TestBase - Method loginNegativeWrongEmail is started 
18:41:14 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Logout ']
18:41:14 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Logout '] is found
18:41:14 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Logout ']
18:41:14 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Logout '] is found
18:41:14 INFO  manager.TestNgListener - Test loginNegativeWrongEmail invoked
18:41:14 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //*[.=' Log in ']
18:41:14 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //*[.=' Log in '] is found
18:41:15 INFO  manager.WebDriverListener - Start searching element -> By.xpath: (//input[@id='email'])
18:41:15 INFO  manager.WebDriverListener - Element with locator -> By.xpath: (//input[@id='email']) is found
18:41:15 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //input[@id='password']
18:41:15 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //input[@id='password'] is found
18:41:15 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //button[@type='submit']
18:41:15 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //button[@type='submit'] is found
18:41:15 INFO  manager.WebDriverListener - Start searching element -> By.xpath: //h2[contains(text(),'incorrect')]
18:41:15 INFO  manager.WebDriverListener - Element with locator -> By.xpath: //h2[contains(text(),'incorrect')] is found
